1 3 34964311.87466482
1 3 34980548.38955566
1 3 34996733.69352861
1 3 35012861.59080166
1 3 35028925.66260958
1 3 35044919.26004573
1 3 35060835.49666418
1 3 35076667.24083369
1 3 35092407.10783361
1 3 35108047.45168220
1 3 35123580.35668664
1 3 35138997.62870438
1 3 35154290.78610393
1 3 35169451.05041382
1 3 35184469.33664676
1 3 35199336.24328617
1 3 35214042.04192156
1 3 35228576.66651803
1 3 35242929.70230502
1 3 35257090.37426849
1 3 35271047.53522978
1 3 35284789.65349358
1 3 35298304.80004674
1 3 35311580.63528845
1 3 35324604.39527137
1 3 35337362.87743213
1 3 35349842.42578876
1 3 35362028.91558091
1 3 35373907.73732783
1 3 35385463.78027745
1 3 35396681.41521864
1 3 35407544.47662677
1 3 35418036.24411160
1 3 35428139.42313442
1 3 35437836.12495919
1 3 35447107.84580136
1 3 35455935.44513503
1 3 35464299.12311722
1 3 35472178.39708604
1 3 35479552.07708634
1 3 35486398.24037459
1 3 35492694.20485117
1 3 35498416.50136628
1 3 35503540.84484173
1 3 35508042.10414842
1 3 35511894.27067554
1 3 35515070.42552442
1 3 35517542.70525624
1 3 35519282.26611916
1 3 35520259.24667695
1 3 35520442.72875705
1 3 35519800.69663274
1 4 35535800.77180108
1 4 35551786.36141433
1 4 35567752.71706212
1 4 35583694.91389943
1 4 35599607.84500597
1 4 35615486.21556119
1 4 35631324.53682862
1 4 35647117.11994246
1 4 35662858.06948913
1 4 35678541.27687661
1 4 35694160.41348328
1 4 35709708.92357852
1 4 35725180.01700628
1 4 35740566.66162278
1 4 35755861.57547910
1 4 35771057.21873888
1 4 35786145.78532104
1 4 35801119.19425678
1 4 35815969.08074992
1 4 35830686.78692886
1 4 35845263.35227799
1 4 35859689.50373582
1 4 35873955.64544660
1 4 35888051.84815123
1 4 35901967.83820301
1 4 35915692.98619272
1 4 35929216.29516698
1 4 35942526.38842294
1 4 35955611.49686152
1 4 35968459.44588057
1 4 35981057.64178830
1 4 35993393.05771647
1 4 36005452.21901167
1 4 36017221.18808176
1 4 36028685.54867385
1 4 36039830.38955832
1 4 36050640.28759270
1 4 36061099.29013725
1 4 36071190.89679302
1 4 36080898.04043169
1 4 36090203.06748439
1 4 36099087.71745549
1 4 36107533.10162544
1 4 36115519.68090447
1 4 36123027.24279775
1 4 36130034.87743979
1 4 36136520.95265402
1 4 36142463.08799161
1 4 36147838.12770035
1 4 36152622.11257324
1 4 36156790.25062271
1 4 36160316.88652481
1 4 36163175.46977475
1 4 36165338.52149248
1 4 36166777.59981454
1 4 36167463.26380590
1 4 36167365.03582275
1 5 36182896.88219622
1 5 36198412.77248520
1 5 36213908.01613814
1 5 36229377.74841850
1 5 36244816.92482686
1 5 36260220.31534061
1 5 36275582.49846479
1 5 36290897.85508711
1 5 36306160.56213024
1 5 36321364.58599368
1 5 36336503.67577782
1 5 36351571.35628187
1 5 36366560.92076735
1 5 36381465.42347844
1 5 36396277.67190997
1 5 36410990.21881343
1 5 36425595.35393130
1 5 36440085.09544878
1 5 36454451.18115262
1 5 36468685.05928518
1 5 36482777.87908202
1 5 36496720.48098057
1 5 36510503.38648678
1 5 36524116.78768608
1 5 36537550.53638441
1 5 36550794.13286434
1 5 36563836.71424059
1 5 36576667.04239842
1 5 36589273.49149787
1 5 36601644.03502555
1 5 36613766.23237514
1 5 36625627.21493672
1 5 36637213.67167406
1 5 36648511.83416795
1 5 36659507.46110266
1 5 36670185.82217127
1 5 36680531.68137479
1 5 36690529.27968821
1 5 36700162.31706579
1 5 36709413.93375621
1 5 36718266.69089673
1 5 36726702.55035438
1 5 36734702.85377988
1 5 36742248.30083916
1 5 36749318.92658499
1 5 36755894.07792976
1 5 36761952.38917851
1 5 36767471.75657929
1 5 36772429.31184624
1 5 36776801.39460846
1 5 36780563.52373586
1 5 36783690.36749119
1 5 36786155.71245500
1 5 36787932.43116893
1 5 36788992.44843991
1 5 36789306.70624648
1 5 36788845.12718637
1 6 36803800.45433781
1 6 36818737.24282923
1 6 36833650.84626534
1 6 36848536.44608051
1 6 36863389.04601814
1 6 36878203.46642914
1 6 36892974.33838327
1 6 36907696.09758638
1 6 36922362.97809666
1 6 36936969.00583255
1 6 36951507.99186449
1 6 36965973.52548291
1 6 36980358.96703363
1 6 36994657.44051264
1 6 37008861.82591058
1 6 37022964.75129802
1 6 37036958.58464121
1 6 37050835.42533853
1 6 37064587.09546636
1 6 37078205.13072353
1 6 37091680.77106249
1 6 37105004.95099474
1 6 37118168.28955811
1 6 37131161.07993193
1 6 37143973.27868651
1 6 37156594.49465192
1 6 37169013.97739082
1 6 37181220.60525911
1 6 37193202.87303767
1 6 37204948.87911727
1 6 37216446.31221836
1 6 37227682.43762612
1 6 37238644.08292045
1 6 37249317.62317967
1 6 37259688.96563536
1 6 37269743.53375502
1 6 37279466.25072789
1 6 37288841.52232813
1 6 37297853.21912835
1 6 37306484.65803508
1 6 37314718.58311660
1 6 37322537.14569179
1 6 37329921.88364762
1 6 37336853.69995096
1 6 37343312.84031904
1 6 37349278.87001119
1 6 37354730.64970273
1 6 37359646.31040023
1 6 37364003.22735561
1 6 37367777.99293452
1 6 37370946.38839296
1 6 37373483.35451411
1 6 37375362.96105538
1 6 37376558.37495434
1 6 37377041.82724001
1 6 37376784.57859479
1 7 37390833.66625790
1 7 37404859.86147570
1 7 37418858.57937005
1 7 37432825.06591243
1 7 37446754.39249061
